"","assists","boosts","damageDealt","headshotKills","heals","killPlace","kills","killStreaks","longestKill","matchDuration","numGroups","roadKills","teamKills","vehicleDestroys","weaponsAcquired","winPlacePerc","Distance"
"assists",1,0.146639702773511,0.222130827377487,0.103281696336784,0.087933028646147,-0.123160541767659,0.145702227249055,0.0961754513390756,0.12594411898327,0.00106762102012414,0.00334897140310979,0.0123298331802504,-0.0138376142584687,0.0233305989963467,0.07396021789706,NA,0.10763613202464
"boosts",0.146639702773511,1,0.591765637344554,0.418687523095123,0.509596684183657,-0.582910935095381,0.593359560498967,0.412365992985529,0.462438209734786,0.0517439768555841,-0.0245336314862662,0.0585447211209743,0.00679086646868277,0.0635854937438456,0.438065107668476,NA,0.568952363957392
"damageDealt",0.222130827377487,0.591765637344554,1,0.668208724028518,0.338235188641176,-0.735736049187464,0.947846225110725,0.689028943273317,0.634796717410692,0.00208944878887383,0.0039076621770103,0.0652202757966608,-0.0102986992809404,0.0646303150303366,0.353357006799394,NA,0.36225874258094
"headshotKills",0.103281696336784,0.418687523095123,0.668208724028518,1,0.227008484958054,-0.498606329398985,0.699527896501707,0.469592422705816,0.526772580642409,-0.00263801410220267,-0.000632471992480365,0.0217713107631141,-0.00597542412618796,0.0383956231166851,0.242131725017219,NA,0.258486027643419
"heals",0.087933028646147,0.509596684183657,0.338235188641176,0.227008484958054,1,-0.375469954403669,0.331882573355906,0.262323118863434,0.258777361337904,0.0912742556734425,-0.0208421103076016,0.0405587361795875,0.0233653610937884,0.0460327321555202,0.286559283244388,NA,0.393223139687359
"killPlace",-0.123160541767659,-0.582910935095381,-0.735736049187464,-0.498606329398985,-0.375469954403669,1,-0.757513768488298,-0.834891994802423,-0.570551805742404,-0.00315891090311216,0.0823083356199312,-0.0668637868425401,-0.016096323237581,-0.0511547700567733,-0.575101186456695,NA,-0.508755748505781
"kills",0.145702227249055,0.593359560498967,0.947846225110725,0.699527896501707,0.331882573355906,-0.757513768488298,1,0.728967457832462,0.657855528005528,-0.014398331206644,0.00728880535173769,0.0675968822114607,-0.00915715351280983,0.0615917253834267,0.345436411025081,NA,0.352028048860956
"killStreaks",0.0961754513390756,0.412365992985529,0.689028943273317,0.469592422705816,0.262323118863434,-0.834891994802423,0.728967457832462,1,0.515009519521624,-0.0301760047632669,0.010332513062138,0.0611311781665858,-0.00447245879409043,0.0339177234330213,0.325367027210402,NA,0.268415304194674
"longestKill",0.12594411898327,0.462438209734786,0.634796717410692,0.526772580642409,0.258777361337904,-0.570551805742404,0.657855528005528,0.515009519521624,1,0.0642911865055694,-0.0142533006324879,0.0394335181846392,-0.00207972873020473,0.0617163743513885,0.316072210404108,NA,0.386231981830704
"matchDuration",0.00106762102012414,0.0517439768555841,0.00208944878887383,-0.00263801410220267,0.0912742556734425,-0.00315891090311216,-0.014398331206644,-0.0301760047632669,0.0642911865055694,1,-0.117363532030291,0.0519776825987016,0.0625623636904096,0.0479754510054144,0.161406380298391,NA,0.310523844065071
"numGroups",0.00334897140310979,-0.0245336314862662,0.0039076621770103,-0.000632471992480365,-0.0208421103076016,0.0823083356199312,0.00728880535173769,0.010332513062138,-0.0142533006324879,-0.117363532030291,1,-0.00836033782511966,-0.0105194410705627,-0.00683696644532115,-0.0418843098821627,NA,-0.0716943469966531
"roadKills",0.0123298331802504,0.0585447211209743,0.0652202757966608,0.0217713107631141,0.0405587361795875,-0.0668637868425401,0.0675968822114607,0.0611311781665858,0.0394335181846392,0.0519776825987016,-0.00836033782511966,1,0.0186548369675645,0.0253395190167264,0.0464870487057764,NA,0.129835108098689
"teamKills",-0.0138376142584687,0.00679086646868277,-0.0102986992809404,-0.00597542412618796,0.0233653610937884,-0.016096323237581,-0.00915715351280983,-0.00447245879409043,-0.00207972873020473,0.0625623636904096,-0.0105194410705627,0.0186548369675645,1,0.134758965257351,0.0310425049586677,NA,0.0766785074040012
"vehicleDestroys",0.0233305989963467,0.0635854937438456,0.0646303150303366,0.0383956231166851,0.0460327321555202,-0.0511547700567733,0.0615917253834267,0.0339177234330213,0.0617163743513885,0.0479754510054144,-0.00683696644532115,0.0253395190167264,0.134758965257351,1,0.046623053131153,NA,0.0995171401142095
"weaponsAcquired",0.07396021789706,0.438065107668476,0.353357006799394,0.242131725017219,0.286559283244388,-0.575101186456695,0.345436411025081,0.325367027210402,0.316072210404108,0.161406380298391,-0.0418843098821627,0.0464870487057764,0.0310425049586677,0.046623053131153,1,NA,0.508818657081804
"winPlacePerc",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA
"Distance",0.10763613202464,0.568952363957392,0.36225874258094,0.258486027643419,0.393223139687359,-0.508755748505781,0.352028048860956,0.268415304194674,0.386231981830704,0.310523844065071,-0.0716943469966531,0.129835108098689,0.0766785074040012,0.0995171401142095,0.508818657081804,NA,1
