"","assists","boosts","damageDealt","DBNOs","headshotKills","heals","killPlace","kills","killStreaks","longestKill","matchDuration","numGroups","revives","roadKills","teamKills","vehicleDestroys","weaponsAcquired","winPlacePerc","Distance"
"assists",1,0.349327375702421,0.406571495748392,0.279279365721689,0.2021377120099,0.240029858890375,-0.325507750821484,0.322405670300601,0.252514332552452,0.281808883797357,0.00357143779731183,-0.00159611101411013,0.19567279567513,0.0147302247982938,0.000492827134807668,0.0564609841512636,0.218725875994327,0.341578356452609,0.254165236577597
"boosts",0.349327375702421,1,0.5205059046785,0.415492480209335,0.316614302477076,0.547571799176516,-0.544990875491599,0.494731668565957,0.398006859630072,0.416787425571611,0.0782480082448073,-0.00690817699025908,0.28599939772557,0.0288379996194696,0.0143376971236788,0.0825515281133181,0.439536852580409,0.6341549531385,0.582193830593057
"damageDealt",0.406571495748392,0.5205059046785,1,0.853450324063678,0.577936148445585,0.350872886347078,-0.68093809057298,0.859974506168246,0.709370994589258,0.545421490435507,0.0158443052701106,0.00293235155224281,0.278499706680935,0.0434355202274608,0.0138078824702775,0.0758324890459487,0.299093468918541,0.427034997760049,0.314464732249838
"DBNOs",0.279279365721689,0.415492480209335,0.853450324063678,1,0.565313797671726,0.284894466498949,-0.661544099016233,0.847597247534911,0.730933775746951,0.503184726130573,0.00236072488114075,-0.00583964300032758,0.259700800551875,0.0444852318029864,0.0681993510417915,0.0549197569745268,0.233803025602018,0.323351963034138,0.230230773385107
"headshotKills",0.2021377120099,0.316614302477076,0.577936148445585,0.565313797671726,1,0.198819868067922,-0.484102784002877,0.655738568002651,0.535098172001703,0.414814968003648,-0.00859158100383308,0.00254042195251257,0.171769920872767,0.0125948659188319,0.00876995754145733,0.0361565288686907,0.170970867305255,0.254630797697075,0.178396121416403
"heals",0.240029858890375,0.547571799176516,0.350872886347078,0.284894466498949,0.198819868067922,1,-0.390042166311835,0.314349713333778,0.265355972969491,0.268222434291029,0.126761378659502,-0.00426066395467893,0.2514366046147,0.0246188216372962,0.0324068153843776,0.0600394311736024,0.326512436479772,0.436548286941956,0.448297915830598
"killPlace",-0.325507750821484,-0.544990875491599,-0.68093809057298,-0.661544099016233,-0.484102784002877,-0.390042166311835,1,-0.755006201648522,-0.814548508092647,-0.544361700219112,-0.00770854363043324,0.0437923409162241,-0.303027180383407,-0.0459499325010048,-0.0379940880875514,-0.0696273668263481,-0.477342583025305,-0.696269886020446,-0.476381743873799
"kills",0.322405670300601,0.494731668565957,0.859974506168246,0.847597247534911,0.655738568002651,0.314349713333778,-0.755006201648522,1,0.8388642389595,0.598306626390873,-0.012287433671985,0.00524466981249387,0.284450622408391,0.0508444956113397,0.0161043435656246,0.0768638504510813,0.272019163975855,0.401384242530986,0.280593609485927
"killStreaks",0.252514332552452,0.398006859630072,0.709370994589258,0.730933775746951,0.535098172001703,0.265355972969491,-0.814548508092647,0.8388642389595,1,0.511106365424545,-0.0243207616544026,0.00355605906866642,0.247223084124,0.0493138758964466,0.0254232249534596,0.0612560361308249,0.249234222573919,0.350780749859316,0.233449861273374
"longestKill",0.281808883797357,0.416787425571611,0.545421490435507,0.503184726130573,0.414814968003648,0.268222434291029,-0.544361700219112,0.598306626390873,0.511106365424545,1,0.0653171640745607,-0.00337282249830026,0.183452847121042,0.0280385423065554,0.00545466058026168,0.0823917319804789,0.273480629345238,0.409168047747221,0.360664214621954
"matchDuration",0.00357143779731183,0.0782480082448073,0.0158443052701106,0.00236072488114075,-0.00859158100383308,0.126761378659502,-0.00770854363043324,-0.012287433671985,-0.0243207616544026,0.0653171640745607,1,-0.0566169876759162,0.0269809996322131,0.0374891444061699,0.0532340225506896,0.0662009430166613,0.167636463860617,-0.0055283276328733,0.343983070895763
"numGroups",-0.00159611101411013,-0.00690817699025908,0.00293235155224281,-0.00583964300032758,0.00254042195251257,-0.00426066395467893,0.0437923409162241,0.00524466981249387,0.00355605906866642,-0.00337282249830026,-0.0566169876759162,1,-0.00401835360490965,-0.00354963502358565,-0.00899923969408726,-0.00506064673345437,-0.00833514784919489,0.0182794435037541,-0.027397607910573
"revives",0.19567279567513,0.28599939772557,0.278499706680935,0.259700800551875,0.171769920872767,0.2514366046147,-0.303027180383407,0.284450622408391,0.247223084124,0.183452847121042,0.0269809996322131,-0.00401835360490965,1,0.0116203191863908,0.0297461591261486,0.0355861837276238,0.195634452281267,0.276681455235028,0.215556514971929
"roadKills",0.0147302247982938,0.0288379996194696,0.0434355202274608,0.0444852318029864,0.0125948659188319,0.0246188216372962,-0.0459499325010048,0.0508444956113397,0.0493138758964466,0.0280385423065554,0.0374891444061699,-0.00354963502358565,0.0116203191863908,1,0.00749201797904947,0.0165806972816328,0.0211044766869877,0.0242723410913577,0.0657486843517398
"teamKills",0.000492827134807668,0.0143376971236788,0.0138078824702775,0.0681993510417915,0.00876995754145733,0.0324068153843776,-0.0379940880875514,0.0161043435656246,0.0254232249534596,0.00545466058026168,0.0532340225506896,-0.00899923969408726,0.0297461591261486,0.00749201797904947,1,0.111451500174197,0.0295856606275765,0.0147327018872249,0.0408114492740434
"vehicleDestroys",0.0564609841512636,0.0825515281133181,0.0758324890459487,0.0549197569745268,0.0361565288686907,0.0600394311736024,-0.0696273668263481,0.0768638504510813,0.0612560361308249,0.0823917319804789,0.0662009430166613,-0.00506064673345437,0.0355861837276238,0.0165806972816328,0.111451500174197,1,0.0665539848620581,0.0726432407140393,0.120409200811115
"weaponsAcquired",0.218725875994327,0.439536852580409,0.299093468918541,0.233803025602018,0.170970867305255,0.326512436479772,-0.477342583025305,0.272019163975855,0.249234222573919,0.273480629345238,0.167636463860617,-0.00833514784919489,0.195634452281267,0.0211044766869877,0.0295856606275765,0.0665539848620581,1,0.600584437147142,0.533652980680266
"winPlacePerc",0.341578356452609,0.6341549531385,0.427034997760049,0.323351963034138,0.254630797697075,0.436548286941956,-0.696269886020446,0.401384242530986,0.350780749859316,0.409168047747221,-0.0055283276328733,0.0182794435037541,0.276681455235028,0.0242723410913577,0.0147327018872249,0.0726432407140393,0.600584437147142,1,0.691131191585253
"Distance",0.254165236577597,0.582193830593057,0.314464732249838,0.230230773385107,0.178396121416403,0.448297915830598,-0.476381743873799,0.280593609485927,0.233449861273374,0.360664214621954,0.343983070895763,-0.027397607910573,0.215556514971929,0.0657486843517398,0.0408114492740434,0.120409200811115,0.533652980680266,0.691131191585253,1
