"","assists","boosts","damageDealt","DBNOs","headshotKills","heals","killPlace","kills","killStreaks","longestKill","matchDuration","numGroups","revives","roadKills","teamKills","vehicleDestroys","weaponsAcquired","winPlacePerc","Distance"
"assists",1,0.351011390055405,0.401605051170716,0.281234180807631,0.193836928927648,0.230382940144622,-0.330152077234247,0.323041239444864,0.258015043228274,0.269572656639633,-0.0034419281939706,-0.000641511898691586,0.201738793490187,0.0209541382630263,-0.00358790617084248,0.0732342181768812,0.219468202848709,0.34669143634501,0.251084683306453
"boosts",0.351011390055405,1,0.49983480981616,0.407190167842098,0.305508040992384,0.528386224578174,-0.545398800892295,0.482876968945655,0.397941691413613,0.395304166956997,0.0791641247196086,-0.0166914757803687,0.281532601735059,0.0359822000563245,0.0151024244210805,0.108442689820483,0.427889666350127,0.62867960333478,0.577226834771935
"damageDealt",0.401605051170716,0.49983480981616,1,0.865792699169829,0.60989112415495,0.299228840744309,-0.667754642472229,0.872893930693626,0.711379545814463,0.571095126007426,0.00897520054174117,0.00158474206619856,0.258649841956563,0.0660950070159261,0.0125495525251506,0.0996157292466699,0.284235534756724,0.418764262950362,0.3033036686101
"DBNOs",0.281234180807631,0.407190167842098,0.865792699169829,1,0.590023908776285,0.25009503080213,-0.647593614644081,0.854527437565931,0.724263963030722,0.53237593004949,0.00100091043065797,-0.00671834865726179,0.255396334643752,0.0656506387844002,0.0762174826709444,0.0736959528194934,0.229865833273861,0.323642326299146,0.230916236104693
"headshotKills",0.193836928927648,0.305508040992384,0.60989112415495,0.590023908776285,1,0.166391535926804,-0.449407910263638,0.665793796785655,0.516392996760366,0.465714368890462,-0.00306529433445101,-0.00679152095291786,0.155913656206196,0.0205711052145954,0.00849533072984297,0.0485797237581399,0.162483266355803,0.252048186727448,0.179508545461483
"heals",0.230382940144622,0.528386224578174,0.299228840744309,0.25009503080213,0.166391535926804,1,-0.376133240538524,0.278414357068666,0.24475921645246,0.232070443297869,0.119216371477314,-0.0020817761892565,0.242482597882655,0.029757009536541,0.0397040841936636,0.0756258487096849,0.316532251070693,0.428034791401653,0.453824135453192
"killPlace",-0.330152077234247,-0.545398800892295,-0.667754642472229,-0.647593614644081,-0.449407910263638,-0.376133240538524,1,-0.738457685240078,-0.806882836303419,-0.52043464817314,-0.00663367136429409,0.0428505355001066,-0.293655265661839,-0.0654803803360684,-0.0337793949040228,-0.0913976373208844,-0.480175163814141,-0.701326274762003,-0.480845258026535
"kills",0.323041239444864,0.482876968945655,0.872893930693626,0.854527437565931,0.665793796785655,0.278414357068666,-0.738457685240078,1,0.831748923470418,0.609274168081241,-0.0138731494575257,0.00443080601583221,0.265943654192059,0.0776543231801939,0.0115372665278512,0.101338432309164,0.265615285136065,0.400332232076644,0.27366036351599
"killStreaks",0.258015043228274,0.397941691413613,0.711379545814463,0.724263963030722,0.516392996760366,0.24475921645246,-0.806882836303419,0.831748923470418,1,0.507282347433323,-0.0254274927655919,0.0031822239112321,0.234748577270072,0.0812696641002028,0.0197127345329992,0.0808154656480538,0.250581923491505,0.355748542334045,0.236003265437999
"longestKill",0.269572656639633,0.395304166956997,0.571095126007426,0.53237593004949,0.465714368890462,0.232070443297869,-0.52043464817314,0.609274168081241,0.507282347433323,1,0.0614179432360153,-0.00712280824786943,0.171017314731529,0.0384980877720639,0.00738812030329952,0.0950004107703774,0.247314335457762,0.383191298661864,0.33302589163866
"matchDuration",-0.0034419281939706,0.0791641247196086,0.00897520054174117,0.00100091043065797,-0.00306529433445101,0.119216371477314,-0.00663367136429409,-0.0138731494575257,-0.0254274927655919,0.0614179432360153,1,0.0074911898154275,0.0279111047365268,0.0461549936900467,0.0576264822228184,0.0751754657526654,0.153503365111265,-0.0133398096514714,0.350057399456585
"numGroups",-0.000641511898691586,-0.0166914757803687,0.00158474206619856,-0.00671834865726179,-0.00679152095291786,-0.0020817761892565,0.0428505355001066,0.00443080601583221,0.0031822239112321,-0.00712280824786943,0.0074911898154275,1,-0.00795622058197218,-0.00045157606979821,-0.00173644588272473,-0.000600411165187446,0.00592497951842062,0.0154160356934648,-0.00673229330568482
"revives",0.201738793490187,0.281532601735059,0.258649841956563,0.255396334643752,0.155913656206196,0.242482597882655,-0.293655265661839,0.265943654192059,0.234748577270072,0.171017314731529,0.0279111047365268,-0.00795622058197218,1,0.0130932767567491,0.0359462186014471,0.0477222539012543,0.191760509682811,0.275385097398378,0.222751345418998
"roadKills",0.0209541382630263,0.0359822000563245,0.0660950070159261,0.0656506387844002,0.0205711052145954,0.029757009536541,-0.0654803803360684,0.0776543231801939,0.0812696641002028,0.0384980877720639,0.0461549936900467,-0.00045157606979821,0.0130932767567491,1,0.00939305085392856,0.0266607391068242,0.0212377179547061,0.0298268471184741,0.0846879988662628
"teamKills",-0.00358790617084248,0.0151024244210805,0.0125495525251506,0.0762174826709444,0.00849533072984297,0.0397040841936636,-0.0337793949040228,0.0115372665278512,0.0197127345329992,0.00738812030329952,0.0576264822228184,-0.00173644588272473,0.0359462186014471,0.00939305085392856,1,0.108331818934457,0.0357111125443631,0.011692154344646,0.043035869847308
"vehicleDestroys",0.0732342181768812,0.108442689820483,0.0996157292466699,0.0736959528194934,0.0485797237581399,0.0756258487096849,-0.0913976373208844,0.101338432309164,0.0808154656480538,0.0950004107703774,0.0751754657526654,-0.000600411165187446,0.0477222539012543,0.0266607391068242,0.108331818934457,1,0.0798865663058614,0.0903393506947013,0.140249339296663
"weaponsAcquired",0.219468202848709,0.427889666350127,0.284235534756724,0.229865833273861,0.162483266355803,0.316532251070693,-0.480175163814141,0.265615285136065,0.250581923491505,0.247314335457762,0.153503365111265,0.00592497951842062,0.191760509682811,0.0212377179547061,0.0357111125443631,0.0798865663058614,1,0.576691607724283,0.516594311157348
"winPlacePerc",0.34669143634501,0.62867960333478,0.418764262950362,0.323642326299146,0.252048186727448,0.428034791401653,-0.701326274762003,0.400332232076644,0.355748542334045,0.383191298661864,-0.0133398096514714,0.0154160356934648,0.275385097398378,0.0298268471184741,0.011692154344646,0.0903393506947013,0.576691607724283,1,0.674005180001558
"Distance",0.251084683306453,0.577226834771935,0.3033036686101,0.230916236104693,0.179508545461483,0.453824135453192,-0.480845258026535,0.27366036351599,0.236003265437999,0.33302589163866,0.350057399456585,-0.00673229330568482,0.222751345418998,0.0846879988662628,0.043035869847308,0.140249339296663,0.516594311157348,0.674005180001558,1
