"","assists","boosts","damageDealt","DBNOs","headshotKills","heals","killPlace","killPoints","kills","killStreaks","longestKill","matchDuration","numGroups","rankPoints","revives","roadKills","teamKills","vehicleDestroys","weaponsAcquired","winPoints","Distance"
"assists",1,0.347140201561961,0.392961434876888,0.239066367515466,0.185745394216893,0.224497724505949,-0.29914250097335,0.0362840737451881,0.291244675518677,0.223142104711074,0.259262960209588,0.00687667854563602,0.00356735392198645,-0.0146591398526443,0.142397484207297,0.0162588055802322,-0.0109952023965591,0.0630399030138216,0.211582148836003,0.0234131896757809,0.242299608405737
"boosts",0.347140201561961,1,0.558765642599238,0.434506698003002,0.354530420665588,0.534949956455346,-0.569476786579091,0.0114746285400649,0.543705364686953,0.433155929561788,0.429897005956459,0.0553554580826387,-0.0217903982233652,0.0195017828361167,0.259460239956425,0.0378528635423474,0.0101226206886825,0.101822609254272,0.430626378806128,-0.00431457414498304,0.573205633409935
"damageDealt",0.392961434876888,0.558765642599238,1,0.818506420194202,0.61527854235517,0.337282872394141,-0.694365527526052,0.04608608853499,0.895441314625392,0.722098169028255,0.588425673959053,0.0084282901808372,0.00435311792669714,-0.00148202821026873,0.279834965046243,0.0667483081274686,0.0144291199145167,0.104492806932409,0.322858430022826,0.0172065726502775,0.336024114608179
"DBNOs",0.239066367515466,0.434506698003002,0.818506420194202,1,0.540541163183304,0.269296261457528,-0.61532511940064,0.0232387373321942,0.796425582683576,0.669421536023865,0.515530746337704,0.00698768010963433,0.00538337822285643,0.0139437848424028,0.306272664847324,0.0619842440561022,0.0637151702550679,0.0797813390965267,0.249663191908857,-0.00136946196917359,0.254546926559306
"headshotKills",0.185745394216893,0.354530420665588,0.61527854235517,0.540541163183304,1,0.193223123176357,-0.458912386594989,0.0238399052832274,0.664679646626225,0.506359362378984,0.475246248713963,-0.00393866712754085,-0.00479286010956542,0.00214775142245281,0.171162568459618,0.0223311488620835,0.00936277272269796,0.0508995582854229,0.19239010884496,0.0066093484108698,0.208301227402293
"heals",0.224497724505949,0.534949956455346,0.337282872394141,0.269296261457528,0.193223123176357,1,-0.393006539252898,-0.00124096234436025,0.312083800638318,0.274151795889161,0.258889692442237,0.101087046043505,-0.0156445407340538,0.0185962617792262,0.225684401897622,0.031851106292746,0.0358880094309167,0.0719644879891717,0.313986774815891,-0.0094168526939939,0.441863726448806
"killPlace",-0.29914250097335,-0.569476786579091,-0.694365527526052,-0.61532511940064,-0.458912386594989,-0.393006539252898,1,-0.0439053385079782,-0.747195226021615,-0.825139928846949,-0.538546051521248,-0.00910262363617381,0.0791446313097487,0.00497259272000473,-0.281339158359754,-0.0645875040171857,-0.0498252378210349,-0.0891410726353781,-0.518433932809725,-0.02428710880114,-0.505616013894641
"killPoints",0.0362840737451881,0.0114746285400649,0.04608608853499,0.0232387373321942,0.0238399052832274,-0.00124096234436025,-0.0439053385079782,1,0.0326576462407728,0.0303334008931789,0.0144966062940243,-0.0946614362111843,-0.132620067707812,-0.979527516162078,0.00129824420366341,0.0045774679431445,-0.043937962866557,-0.00955252790474012,0.0099768611728862,0.988722157762883,-0.00714958814434478
"kills",0.291244675518677,0.543705364686953,0.895441314625392,0.796425582683576,0.664679646626225,0.312083800638318,-0.747195226021615,0.0326576462407728,1,0.817470501289257,0.628715371330737,-0.0123399974950272,0.00902838022230009,0.00838909659546369,0.282953916030242,0.0763884924143453,0.0203036734105983,0.103555140831054,0.303844116983578,0.00545746256671547,0.310240386802057
"killStreaks",0.223142104711074,0.433155929561788,0.722098169028255,0.669421536023865,0.506359362378984,0.274151795889161,-0.825139928846949,0.0303334008931789,0.817470501289257,1,0.527077535357502,-0.0227718425168393,0.0102593461339613,0.00738260366022813,0.247217463018844,0.0835369401157808,0.0378744178952918,0.0776062416282783,0.290209250123156,0.0056196293139084,0.266883037943874
