"","assists","boosts","damageDealt","DBNOs","headshotKills","heals","killPlace","killPoints","kills","killStreaks","longestKill","matchDuration","numGroups","rankPoints","revives","roadKills","teamKills","vehicleDestroys","weaponsAcquired","winPoints","Distance"
"assists",1,0.351011390055405,0.401605051170716,0.281234180807631,0.193836928927648,0.230382940144622,-0.330152077234247,0.0354347894242375,0.323041239444864,0.258015043228274,0.269572656639633,-0.0034419281939706,-0.000641511898691586,-0.00507629086397471,0.201738793490187,0.0209541382630263,-0.00358790617084248,0.0732342181768812,0.219468202848709,0.019713992606377,0.251084683306453
"boosts",0.351011390055405,1,0.49983480981616,0.407190167842098,0.305508040992384,0.528386224578174,-0.545398800892295,0.0161019984303654,0.482876968945655,0.397941691413613,0.395304166956997,0.0791641247196086,-0.0166914757803687,0.0181074684758169,0.281532601735059,0.0359822000563245,0.0151024244210805,0.108442689820483,0.427889666350127,0.000907423850782322,0.577226834771935
"damageDealt",0.401605051170716,0.49983480981616,1,0.865792699169829,0.60989112415495,0.299228840744309,-0.667754642472229,0.0575993512018744,0.872893930693626,0.711379545814463,0.571095126007426,0.00897520054174117,0.00158474206619856,-0.00236535480588231,0.258649841956563,0.0660950070159261,0.0125495525251506,0.0996157292466699,0.284235534756724,0.0245194040342964,0.3033036686101
"DBNOs",0.281234180807631,0.407190167842098,0.865792699169829,1,0.590023908776285,0.25009503080213,-0.647593614644081,0.032460124972821,0.854527437565931,0.724263963030722,0.53237593004949,0.00100091043065797,-0.00671834865726179,0.0162418889639455,0.255396334643752,0.0656506387844002,0.0762174826709444,0.0736959528194934,0.229865833273861,0.00227473444194438,0.230916236104693
"headshotKills",0.193836928927648,0.305508040992384,0.60989112415495,0.590023908776285,1,0.166391535926804,-0.449407910263638,0.0306454876730217,0.665793796785655,0.516392996760366,0.465714368890462,-0.00306529433445101,-0.00679152095291786,0.00144544191288472,0.155913656206196,0.0205711052145954,0.00849533072984297,0.0485797237581399,0.162483266355803,0.011429109070152,0.179508545461483
"heals",0.230382940144622,0.528386224578174,0.299228840744309,0.25009503080213,0.166391535926804,1,-0.376133240538524,-0.0020767741727752,0.278414357068666,0.24475921645246,0.232070443297869,0.119216371477314,-0.0020817761892565,0.0186998014425788,0.242482597882655,0.029757009536541,0.0397040841936636,0.0756258487096849,0.316532251070693,-0.00764770200596221,0.453824135453192
"killPlace",-0.330152077234247,-0.545398800892295,-0.667754642472229,-0.647593614644081,-0.449407910263638,-0.376133240538524,1,-0.0386997985549511,-0.738457685240078,-0.806882836303419,-0.52043464817314,-0.00663367136429409,0.0428505355001066,-0.00739239719101902,-0.293655265661839,-0.0654803803360684,-0.0337793949040228,-0.0913976373208844,-0.480175163814141,-0.0161713682494907,-0.480845258026535
"killPoints",0.0354347894242375,0.0161019984303654,0.0575993512018744,0.032460124972821,0.0306454876730217,-0.0020767741727752,-0.0386997985549511,1,0.0394092202528592,0.0338375634879806,0.0225968120258299,-0.0785573944277221,-0.0111259213947491,-0.975437417913545,0.00506564848333687,0.00653592735152611,-0.0492498270836495,-0.00436324913711337,0.000979187123002753,0.985681813295832,-0.00756187686788202
"kills",0.323041239444864,0.482876968945655,0.872893930693626,0.854527437565931,0.665793796785655,0.278414357068666,-0.738457685240078,0.0394092202528592,1,0.831748923470418,0.609274168081241,-0.0138731494575257,0.00443080601583221,0.0117963282644518,0.265943654192059,0.0776543231801939,0.0115372665278512,0.101338432309164,0.265615285136065,0.00807956454761411,0.27366036351599
"killStreaks",0.258015043228274,0.397941691413613,0.711379545814463,0.724263963030722,0.516392996760366,0.24475921645246,-0.806882836303419,0.0338375634879806,0.831748923470418,1,0.507282347433323,-0.0254274927655919,0.0031822239112321,0.011472508570107,0.234748577270072,0.0812696641002028,0.0197127345329992,0.0808154656480538,0.250581923491505,0.0057500349610246,0.236003265437999
"longestKill",0.269572656639633,0.395304166956997,0.571095126007426,0.53237593004949,0.465714368890462,0.232070443297869,-0.52043464817314,0.0225968120258299,0.609274168081241,0.507282347433323,1,0.0614179432360153,-0.00712280824786943,0.012342563808388,0.171017314731529,0.0384980877720639,0.00738812030329952,0.0950004107703774,0.247314335457762,0.0046955448676247,0.33302589163866
"matchDuration",-0.0034419281939706,0.0791641247196086,0.00897520054174117,0.00100091043065797,-0.00306529433445101,0.119216371477314,-0.00663367136429409,-0.0785573944277221,-0.0138731494575257,-0.0254274927655919,0.0614179432360153,1,0.0074911898154275,0.06805598494869,0.0279111047365268,0.0461549936900467,0.0576264822228184,0.0751754657526654,0.153503365111265,-0.0672329544718986,0.350057399456585
"numGroups",-0.000641511898691586,-0.0166914757803687,0.00158474206619856,-0.00671834865726179,-0.00679152095291786,-0.0020817761892565,0.0428505355001066,-0.0111259213947491,0.00443080601583221,0.0031822239112321,-0.00712280824786943,0.0074911898154275,1,0.0239265682597,-0.00795622058197218,-0.00045157606979821,-0.00173644588272473,-0.000600411165187446,0.00592497951842062,-0.0220879202966713,-0.00673229330568482
"rankPoints",-0.00507629086397471,0.0181074684758169,-0.00236535480588231,0.0162418889639455,0.00144544191288472,0.0186998014425788,-0.00739239719101902,-0.975437417913545,0.0117963282644518,0.011472508570107,0.012342563808388,0.06805598494869,0.0239265682597,1,0.00893052822527813,-0.00249766216969628,0.0500951283298938,0.0108871861923917,0.018352128744159,-0.991714554692969,0.0298309351804145
"revives",0.201738793490187,0.281532601735059,0.258649841956563,0.255396334643752,0.155913656206196,0.242482597882655,-0.293655265661839,0.00506564848333687,0.265943654192059,0.234748577270072,0.171017314731529,0.0279111047365268,-0.00795622058197218,0.00893052822527813,1,0.0130932767567491,0.0359462186014471,0.0477222539012543,0.191760509682811,-0.0014793537722878,0.222751345418998
