"","assists","boosts","damageDealt","DBNOs","headshotKills","heals","killPlace","killPoints","kills","killStreaks","longestKill","matchDuration","numGroups","rankPoints","revives","roadKills","teamKills","vehicleDestroys","weaponsAcquired","winPoints","Distance"
"assists",1,0.349327375702421,0.406571495748392,0.279279365721689,0.2021377120099,0.240029858890375,-0.325507750821484,0.0347990099483821,0.322405670300601,0.252514332552452,0.281808883797357,0.00357143779731183,-0.00159611101411013,-0.00451812671014401,0.19567279567513,0.0147302247982938,0.000492827134807668,0.0564609841512636,0.218725875994327,0.0179216774997254,0.254165236577597
"boosts",0.349327375702421,1,0.5205059046785,0.415492480209335,0.316614302477076,0.547571799176516,-0.544990875491599,0.00455779267011036,0.494731668565957,0.398006859630072,0.416787425571611,0.0782480082448073,-0.00690817699025908,0.0290110349614892,0.28599939772557,0.0288379996194696,0.0143376971236788,0.0825515281133181,0.439536852580409,-0.0131254930988505,0.582193830593057
"damageDealt",0.406571495748392,0.5205059046785,1,0.853450324063678,0.577936148445585,0.350872886347078,-0.68093809057298,0.0542521404598227,0.859974506168246,0.709370994589258,0.545421490435507,0.0158443052701106,0.00293235155224281,0.00266411890283114,0.278499706680935,0.0434355202274608,0.0138078824702775,0.0758324890459487,0.299093468918541,0.0170415619800128,0.314464732249838
"DBNOs",0.279279365721689,0.415492480209335,0.853450324063678,1,0.565313797671726,0.284894466498949,-0.661544099016233,0.0346564665823311,0.847597247534911,0.730933775746951,0.503184726130573,0.00236072488114075,-0.00583964300032758,0.0155860683678267,0.259700800551875,0.0444852318029864,0.0681993510417915,0.0549197569745268,0.233803025602018,0.000700848442482287,0.230230773385107
"headshotKills",0.2021377120099,0.316614302477076,0.577936148445585,0.565313797671726,1,0.198819868067922,-0.484102784002877,0.0272872796282307,0.655738568002651,0.535098172001703,0.414814968003648,-0.00859158100383308,0.00254042195251257,0.00691191599323009,0.171769920872767,0.0125948659188319,0.00876995754145733,0.0361565288686907,0.170970867305255,0.00461716121934562,0.178396121416403
"heals",0.240029858890375,0.547571799176516,0.350872886347078,0.284894466498949,0.198819868067922,1,-0.390042166311835,-0.0107845078080339,0.314349713333778,0.265355972969491,0.268222434291029,0.126761378659502,-0.00426066395467893,0.0294739607893533,0.2514366046147,0.0246188216372962,0.0324068153843776,0.0600394311736024,0.326512436479772,-0.0196241453738813,0.448297915830598
"killPlace",-0.325507750821484,-0.544990875491599,-0.68093809057298,-0.661544099016233,-0.484102784002877,-0.390042166311835,1,-0.022859259779124,-0.755006201648522,-0.814548508092647,-0.544361700219112,-0.00770854363043324,0.0437923409162241,-0.0194552187141131,-0.303027180383407,-0.0459499325010048,-0.0379940880875514,-0.0696273668263481,-0.477342583025305,0.00200000331551171,-0.476381743873799
"killPoints",0.0347990099483821,0.00455779267011036,0.0542521404598227,0.0346564665823311,0.0272872796282307,-0.0107845078080339,-0.022859259779124,1,0.0410350990058638,0.0389385679624462,0.00957833335337203,-0.116472554699338,0.095892473245963,-0.97518830326833,0.00239118471856681,-0.00146311528795705,-0.0428038194427101,-0.0116209131616481,-0.0113726030830608,0.983369184730713,-0.0334041873015959
"kills",0.322405670300601,0.494731668565957,0.859974506168246,0.847597247534911,0.655738568002651,0.314349713333778,-0.755006201648522,0.0410350990058638,1,0.8388642389595,0.598306626390873,-0.012287433671985,0.00524466981249387,0.0114917014592494,0.284450622408391,0.0508444956113397,0.0161043435656246,0.0768638504510813,0.272019163975855,0.00640735968343475,0.280593609485927
"killStreaks",0.252514332552452,0.398006859630072,0.709370994589258,0.730933775746951,0.535098172001703,0.265355972969491,-0.814548508092647,0.0389385679624462,0.8388642389595,1,0.511106365424545,-0.0243207616544026,0.00355605906866642,0.00580009868733217,0.247223084124,0.0493138758964466,0.0254232249534596,0.0612560361308249,0.249234222573919,0.00785201524986469,0.233449861273374
